15101864	5800163	91838273	74757766	40518463
15590662	89949458	79838372	26773827	1034235
47536904	95035200	28652897	40909217	63294316
2425769	50609262	86764085	49204336	96750815
35262418	48061922	15028821	4956615	52658085
93192422	39234708	86995082	56160767	81029957
11908989	94978251	89572544	28252105	85710573
50763542	99525126	13653854	52412553	24318148
17060764	5831006	28607647	89094372	12774535
37722374	82731185	82823454	3932626	95281645
62672305	2556809	30870146	56177225	82106161
12510825	41369924	25252641	56501910	58095404
98004259	93660153	40485268	49122256	8395942
48623854	6510085	11978550	32486575	7834044
58914022	36148457	16498904	58439047	7265589
74980401	63013877	56721308	39950790	19701655
33585754	78945176	63772944	29515111	50219384
18537201	96696720	53388026	86145633	35274970
13995443	25844884	77606916	94507062	71792908
51011572	38176947	28696357	1610715	55273799
67481243	39053114	67060217	47133531	88930159
13590190	29136233	86210996	25633328	67277880
35995152	58158046	97824229	92196919	93847696
24806145	89292250	54613459	27108568	27525261
25555498	79569628	74346666	14150131	15477048
17058741	40553223	19721848	46588386	52576262
23382030	21090501	51308551	4782131	38651855
90039606	95165046	27347337	29773713	45021356
13523725	5094847	79196770	50420982	45100548
68227623	54074677	48574722	32015147	47186345
97362432	80076811	20051592	7311103	80266049
72470021	50814810	25806790	53698646	15395321
57328733	60720873	73299250	69442508	38092195
17839559	74879964	79062358	40543413	82125919
11753347	63688220	55230518	31103890	15161467
61579570	24339388	49300329	97277690	9368191
99797455	61262314	93199681	14232762	74290133
9713845	58778473	49450891	59973232	31708370
73582006	24279797	92143146	66967881	1769961
51597831	26081526	45266287	92541984	74530507
92016303	76554658	81082440	8698669	69364292
27305849	24302082	80018019	39934937	14005950
4162686	61239270	91621421	86589119	53475697
38585418	21261739	82826875	94984822	90059605
96513076	72411478	85512960	29781544	6028882
75943771	67685421	35657572	15715367	83717256
97058882	45848408	35216537	31352285	50363309
96029910	14451595	38149479	4373085	40171990
85988969	47513468	1995289	78551990	38965472
95795602	79762569	3611681	65480773	24749135
88721589	28403377	1602552	38890603	11115942
31116816	47749407	93507372	27331426	21091611
93677094	41052300	24323206	60309490	26193934
21380425	37669255	4665490	57980286	42102265
68098366	95645687	36677791	67088247	94789947
91897365	28871866	94883428	21372054	36777607
4856002	64672429	50997956	71527051	66350497
34738432	76402512	36071174	16109581	75734996
29168255	26900685	74040549	16303861	30287459
39318099	94125124	91705711	53746984	35739457
97367154	43063239	38042676	88705426	37991951
99985399	93761508	42439490	82396169	86163558
40744513	194930	42446429	35249159	3771835
42276108	34750894	58745726	31353455	22667079
12214240	58842091	46343912	16476410	63225080
99766466	18978352	45553932	30634051	10507930
40995219	56359240	16030758	96929772	45908098
46143723	13154084	94396567	48893795	24689599
32009513	21507146	5393316	88298889	68879610
6793530	78476736	76591957	62802127	85243077
50993446	40453791	84533489	21943058	738959
21223998	84869360	77270766	20477407	48741321
54392954	2420178	52839224	41493476	2895941
74001050	52553118	65741659	32507266	2288425
34497363	65796247	59538324	31300010	2826862
4412055	18188506	13990034	99926316	3018052
64416193	44145942	81261556	67883663	62604712
49629107	34123100	83243535	30235115	78518897
29989295	69862063	92458700	97965879	13833289
46396150	11541070	69056518	18751151	46607181
33970279	76915133	35748566	28607461	35580307
90990400	44444673	6368956	40791612	85422058
95967526	49981392	62770263	82914767	57176555
13123134	52208280	41743268	94636416	18931470
62060486	2222632	22308793	84936402	14310646
23115183	61304282	51329947	78203621	58029839
9228688	80403088	93230952	21742703	86921513
52972400	40454687	54265187	22725910	74477618
19479318	21516574	7388179	97105530	63659298
27168130	58920367	262139	44458238	66761834
6627486	28021728	36542549	22861691	97264027
40063093	61303153	68498971	45345080	5371502
93503474	90646682	29870924	90209414	73539797
31379406	11502333	33335804	70691616	11142166
7701134	6107184	92954915	70426586	25743109
8066749	38113819	23702399	19552175	21113011
49098785	57000190	61821126	96349636	47934551
69320053	22336957	15280249	52955905	54195298
46229734	75672354	8220079	71052182	73405004
24045578	99147056	9392143	77966089	28809679
17647473	82119541	16711459	37123863	74070289
61760054	88998538	62080930	13079844	9341609
5199878	29259576	34721095	14294879	9194436
89600054	16728574	58002407	8918922	65299248
33098479	33447591	76448687	73220357	63168150
93476054	92050597	30237221	66228432	6773653
20765558	31180520	29831012	60649035	22715404
63142036	38410103	38655228	11571823	53385713
61013740	43563921	40086540	28096478	65321234
15445786	29396093	75411899	72446626	93895763
8739449	56026944	67847869	50223460	13785797
69918352	78820854	72859381	60974459	20610919
27188802	14357219	949683	18823392	84361384
68566290	6258016	3626344	18224407	48736215
53965203	52229198	96024843	41770029	58130498
74603257	52124827	7276974	161014	41343890
75875046	64207630	85155829	10178217	88193075
64065965	37062845	7943861	43188590	81523320
62857031	97274809	67962016	69837830	75940168
39364418	60338666	80134637	77547	61385743
79554471	41111005	52760221	58252413	25333298
23782744	28364159	49279627	35607169	29648650
57977977	79522025	92317950	18367710	57069812
64785969	41853434	78170041	51054726	40775976
38485815	30462760	77334069	67034107	2525435
744947	97245540	65640934	47726968	37162077
22817009	76478011	55591405	69396102	84273947
12082668	77459803	5800152	93566845	88874145
33356393	69512017	79186795	93484840	25871145
90687570	80874255	52147656	89136660	22377769
2438826	88027354	86313225	79007251	74117308
70663509	47119080	34986008	64503367	90551973
22188060	12236782	14914967	97318162	55421711
64184908	63446402	21263028	2683497	60228855
17999290	25687947	74615979	41675971	68410702
23044225	80105227	29658364	42121144	12520137
38827675	84643584	32405991	38311620	73702387
58155684	52619716	69911674	20782835	29832472
98701709	67949665	31647069	11109402	60172897
80694242	5380676	52070847	84939748	24526418
36495219	36322410	8008855	61972153	57956784
12143675	63489133	63445564	91353274	39040030
33971136	35497922	71087320	14986137	3881822
91060147	86099830	4982187	49608386	87275209
60732885	94199469	73116718	78685673	3763780
54001624	88923754	52707113	17494272	47576604
62225831	574088	9785663	85776328	10365190
30382870	65368479	12026864	26679441	27694014
41960696	86503095	40771876	91890106	14060946
33193195	41348963	98123594	67266615	27750566
13805190	79021572	36717657	57737746	4182312
29210876	99993686	9718235	52311506	1478832
44115972	62826204	94147684	69536489	54413994
29972378	34490139	44126249	73794810	49950972
54818978	79982093	29912619	78810169	21535130
37779676	73703958	78817511	18837553	17796288
25946857	46918582	88800860	96355734	60169099
60863695	71413060	74780137	34367359	31870146
76270909	219861	62653961	90777547	14616526
65209301	46650208	4063763	77021090	11648700
65448609	39535028	40286165	98225224	19069710
19214600	44693703	10171394	12724468	53220789
2161407	88810319	47602984	70644991	23757575
36392817	39132729	35716985	71146922	5586635
98198197	5698769	4756948	12454312	63833432
48590098	10845144	48673153	53869321	30062581
24895198	23245366	33420726	10998248	90001183
38942819	61900537	31590664	92084530	26531850
3538968	5641089	31770103	14140522	88103740
67528734	4231115	71384994	25823764	4480529
22074060	15883333	53385182	85661311	48683226
